age,age_o,race,race_o,match
21,27,4,2,0
21,22,4,2,0
21,22,4,4,1
21,23,4,2,1
21,24,4,3,1
21,25,4,2,0
21,30,4,2,0
21,27,4,2,0
21,28,4,2,1
21,24,4,2,0
24,27,2,2,0
24,22,2,2,0
24,22,2,4,0
24,23,2,2,1
24,24,2,3,0
24,25,2,2,0
24,30,2,2,0
24,27,2,2,0
24,28,2,2,1
24,24,2,2,0
25,27,2,2,0
25,22,2,2,0
25,22,2,4,0
25,23,2,2,0
25,24,2,3,0
25,25,2,2,0
25,30,2,2,0
25,27,2,2,0
25,28,2,2,0
25,24,2,2,0
23,27,2,2,0
23,22,2,2,0
23,22,2,4,0
23,23,2,2,1
23,24,2,3,0
23,25,2,2,0
23,30,2,2,0
23,27,2,2,0
23,28,2,2,1
23,24,2,2,0
21,27,2,2,0
21,22,2,2,0
21,22,2,4,0
21,23,2,2,1
21,24,2,3,0
21,25,2,2,0
21,30,2,2,0
21,27,2,2,0
21,28,2,2,1
21,24,2,2,0
23,27,4,2,0
23,22,4,2,0
23,22,4,4,0
23,23,4,2,1
23,24,4,3,0
23,25,4,2,0
23,30,4,2,0
23,27,4,2,0
23,28,4,2,1
23,24,4,2,0
22,27,4,2,0
22,22,4,2,0
22,22,4,4,0
22,23,4,2,1
22,24,4,3,0
22,25,4,2,0
22,30,4,2,0
22,27,4,2,0
22,28,4,2,1
22,24,4,2,0
25,27,2,2,0
25,22,2,2,1
25,22,2,4,1
25,23,2,2,1
25,24,2,3,1
25,25,2,2,1
25,30,2,2,0
25,27,2,2,1
25,28,2,2,1
25,24,2,2,1
26,27,6,2,0
26,22,6,2,1
26,22,6,4,1
26,23,6,2,1
26,24,6,3,1
26,25,6,2,1
26,30,6,2,1
26,27,6,2,0
26,28,6,2,1
26,24,6,2,0
26,27,2,2,0
26,22,2,2,0
26,22,2,4,1
26,23,2,2,0
26,24,2,3,0
26,25,2,2,0
26,30,2,2,0
26,27,2,2,0
26,28,2,2,1
26,24,2,2,0
27,21,2,4,0
27,24,2,2,0
27,25,2,2,0
27,23,2,2,0
27,21,2,2,0
27,23,2,4,0
27,22,2,4,0
27,25,2,2,0
27,26,2,6,0
27,26,2,2,0
22,21,2,4,0
22,24,2,2,0
22,25,2,2,0
22,23,2,2,0
22,21,2,2,0
22,23,2,4,0
22,22,2,4,0
22,25,2,2,1
22,26,2,6,1
22,26,2,2,0
22,21,4,4,1
22,24,4,2,0
22,25,4,2,0
22,23,4,2,0
22,21,4,2,0
22,23,4,4,0
22,22,4,4,0
22,25,4,2,1
22,26,4,6,1
22,26,4,2,1
23,21,2,4,1
23,24,2,2,1
23,25,2,2,0
23,23,2,2,1
23,21,2,2,1
23,23,2,4,1
23,22,2,4,1
23,25,2,2,1
23,26,2,6,1
23,26,2,2,0
24,21,3,4,1
24,24,3,2,0
24,25,3,2,0
24,23,3,2,0
24,21,3,2,0
24,23,3,4,0
24,22,3,4,0
24,25,3,2,1
24,26,3,6,1
24,26,3,2,0
25,21,2,4,0
25,24,2,2,0
25,25,2,2,0
25,23,2,2,0
25,21,2,2,0
25,23,2,4,0
25,22,2,4,0
25,25,2,2,1
25,26,2,6,1
25,26,2,2,0
30,21,2,4,0
30,24,2,2,0
30,25,2,2,0
30,23,2,2,0
30,21,2,2,0
30,23,2,4,0
30,22,2,4,0
30,25,2,2,0
30,26,2,6,1
30,26,2,2,0
27,21,2,4,0
27,24,2,2,0
27,25,2,2,0
27,23,2,2,0
27,21,2,2,0
27,23,2,4,0
27,22,2,4,0
27,25,2,2,1
27,26,2,6,0
27,26,2,2,0
28,21,2,4,1
28,24,2,2,1
28,25,2,2,0
28,23,2,2,1
28,21,2,2,1
28,23,2,4,1
28,22,2,4,1
28,25,2,2,1
28,26,2,6,1
28,26,2,2,1
24,21,2,4,0
24,24,2,2,0
24,25,2,2,0
24,23,2,2,0
24,21,2,2,0
24,23,2,4,0
24,22,2,4,0
24,25,2,2,1
24,26,2,6,0
24,26,2,2,0
21,25,4,4,0
21,30,4,4,0
21,23,4,4,0
21,24,4,2,0
21,24,4,2,0
21,28,4,2,0
21,26,4,2,0
21,30,4,2,0
21,22,4,2,0
21,25,4,4,0
21,27,4,1,0
21,23,4,2,0
21,21,4,2,0
21,28,4,2,0
21,28,4,2,0
21,23,4,1,0
27,25,1,4,0
27,30,1,4,0
27,23,1,4,0
27,24,1,2,0
27,24,1,2,1
27,28,1,2,1
27,26,1,2,0
27,30,1,2,0
27,22,1,2,0
27,25,1,4,0
27,27,1,1,0
27,23,1,2,0
27,21,1,2,0
27,28,1,2,0
27,28,1,2,0
27,23,1,1,0
21,25,4,4,0
21,30,4,4,0
21,23,4,4,0
21,24,4,2,1
21,24,4,2,1
21,28,4,2,1
21,26,4,2,0
21,30,4,2,0
21,22,4,2,0
21,25,4,4,0
21,27,4,1,0
21,23,4,2,0
21,21,4,2,0
21,28,4,2,0
21,28,4,2,0
21,23,4,1,0
27,25,2,4,0
27,30,2,4,0
27,23,2,4,0
27,24,2,2,0
27,24,2,2,0
27,28,2,2,0
27,26,2,2,0
27,30,2,2,0
27,22,2,2,0
27,25,2,4,0
27,27,2,1,0
27,23,2,2,0
27,21,2,2,0
27,28,2,2,0
27,28,2,2,0
27,23,2,1,0
25,25,2,4,0
25,30,2,4,0
25,23,2,4,0
25,24,2,2,0
25,24,2,2,0
25,28,2,2,0
25,26,2,2,0
25,30,2,2,0
25,22,2,2,0
25,25,2,4,0
25,27,2,1,0
25,23,2,2,0
25,21,2,2,0
25,28,2,2,0
25,28,2,2,0
25,23,2,1,0
23,25,2,4,0
23,30,2,4,0
23,23,2,4,0
23,24,2,2,0
23,24,2,2,0
23,28,2,2,0
23,26,2,2,0
23,30,2,2,0
23,22,2,2,0
23,25,2,4,0
23,27,2,1,0
23,23,2,2,0
23,21,2,2,0
23,28,2,2,0
23,28,2,2,0
23,23,2,1,0
22,25,3,4,0
22,30,3,4,0
22,23,3,4,0
22,24,3,2,0
22,24,3,2,0
22,28,3,2,0
22,26,3,2,1
22,30,3,2,0
22,22,3,2,0
22,25,3,4,0
22,27,3,1,1
22,23,3,2,0
22,21,3,2,0
22,28,3,2,0
22,28,3,2,0
22,23,3,1,0
26,25,2,4,0
26,30,2,4,0
26,23,2,4,0
26,24,2,2,0
26,24,2,2,0
26,28,2,2,0
26,26,2,2,1
26,30,2,2,0
26,22,2,2,0
26,25,2,4,0
26,27,2,1,0
26,23,2,2,0
26,21,2,2,0
26,28,2,2,0
26,28,2,2,0
26,23,2,1,0
22,25,2,4,0
22,30,2,4,0
22,23,2,4,0
22,24,2,2,0
22,24,2,2,1
22,28,2,2,1
22,26,2,2,0
22,30,2,2,0
22,22,2,2,0
22,25,2,4,0
22,27,2,1,0
22,23,2,2,0
22,21,2,2,0
22,28,2,2,0
22,28,2,2,0
22,23,2,1,0
23,25,2,4,0
23,30,2,4,0
23,23,2,4,0
23,24,2,2,0
23,24,2,2,0
23,28,2,2,0
23,26,2,2,0
23,30,2,2,0
23,22,2,2,0
23,25,2,4,1
23,27,2,1,0
23,23,2,2,0
23,21,2,2,0
23,28,2,2,0
23,28,2,2,0
23,23,2,1,1
24,25,2,4,0
24,30,2,4,0
24,23,2,4,0
24,24,2,2,0
24,24,2,2,0
24,28,2,2,0
24,26,2,2,0
24,30,2,2,0
24,22,2,2,1
24,25,2,4,1
24,27,2,1,1
24,23,2,2,0
24,21,2,2,0
24,28,2,2,0
24,28,2,2,0
24,23,2,1,1
27,25,4,4,0
27,30,4,4,0
27,23,4,4,0
27,24,4,2,0
27,24,4,2,0
27,28,4,2,0
27,26,4,2,0
27,30,4,2,0
27,22,4,2,0
27,25,4,4,0
27,27,4,1,0
27,23,4,2,0
27,21,4,2,0
27,28,4,2,0
27,28,4,2,0
27,23,4,1,0
30,25,2,4,0
30,30,2,4,0
30,23,2,4,0
30,24,2,2,0
30,24,2,2,0
30,28,2,2,0
30,26,2,2,0
30,30,2,2,0
30,22,2,2,0
30,25,2,4,0
30,27,2,1,0
30,23,2,2,0
30,21,2,2,0
30,28,2,2,0
30,28,2,2,0
30,23,2,1,0
21,25,4,4,0
21,30,4,4,0
21,23,4,4,0
21,24,4,2,0
21,24,4,2,0
21,28,4,2,0
21,26,4,2,1
21,30,4,2,0
21,22,4,2,0
21,25,4,4,1
21,27,4,1,0
21,23,4,2,0
21,21,4,2,0
21,28,4,2,0
21,28,4,2,0
21,23,4,1,0
25,25,2,4,0
25,30,2,4,0
25,23,2,4,0
25,24,2,2,0
25,24,2,2,0
25,28,2,2,1
25,26,2,2,1
25,30,2,2,0
25,22,2,2,0
25,25,2,4,1
25,27,2,1,1
25,23,2,2,0
25,21,2,2,0
25,28,2,2,1
25,28,2,2,0
25,23,2,1,0
26,25,2,4,0
26,30,2,4,0
26,23,2,4,0
26,24,2,2,0
26,24,2,2,0
26,28,2,2,0
26,26,2,2,0
26,30,2,2,0
26,22,2,2,0
26,25,2,4,1
26,27,2,1,0
26,23,2,2,1
26,21,2,2,0
26,28,2,2,0
26,28,2,2,0
26,23,2,1,0
27,25,2,4,0
27,30,2,4,0
27,23,2,4,0
27,24,2,2,0
27,24,2,2,1
27,28,2,2,0
27,26,2,2,0
27,30,2,2,0
27,22,2,2,0
27,25,2,4,0
27,27,2,1,0
27,23,2,2,0
27,21,2,2,1
27,28,2,2,0
27,28,2,2,0
27,23,2,1,0
23,25,1,4,0
23,30,1,4,0
23,23,1,4,0
23,24,1,2,0
23,24,1,2,0
23,28,1,2,0
23,26,1,2,0
23,30,1,2,0
23,22,1,2,0
23,25,1,4,1
23,27,1,1,1
23,23,1,2,0
23,21,1,2,0
23,28,1,2,0
23,28,1,2,0
23,23,1,1,1
24,25,3,4,0
24,30,3,4,0
24,23,3,4,0
24,24,3,2,0
24,24,3,2,0
24,28,3,2,0
24,26,3,2,0
24,30,3,2,1
24,22,3,2,0
24,25,3,4,0
24,27,3,1,0
24,23,3,2,0
24,21,3,2,0
24,28,3,2,0
24,28,3,2,0
24,23,3,1,0
25,21,4,4,0
25,27,4,1,0
25,21,4,4,0
25,27,4,2,0
25,25,4,2,0
25,23,4,2,0
25,22,4,3,0
25,26,4,2,0
25,22,4,2,0
25,23,4,2,0
25,24,4,2,0
25,27,4,4,0
25,30,4,2,0
25,21,4,4,0
25,25,4,2,0
25,26,4,2,0
25,27,4,2,0
25,23,4,1,0
25,24,4,3,0
30,21,4,4,0
30,27,4,1,0
30,21,4,4,0
30,27,4,2,0
30,25,4,2,0
30,23,4,2,0
30,22,4,3,0
30,26,4,2,0
30,22,4,2,0
30,23,4,2,0
30,24,4,2,0
30,27,4,4,0
30,30,4,2,0
30,21,4,4,0
30,25,4,2,0
30,26,4,2,0
30,27,4,2,0
30,23,4,1,0
30,24,4,3,0
23,21,4,4,0
23,27,4,1,0
23,21,4,4,0
23,27,4,2,0
23,25,4,2,0
23,23,4,2,0
23,22,4,3,0
23,26,4,2,0
23,22,4,2,0
23,23,4,2,0
23,24,4,2,0
23,27,4,4,0
23,30,4,2,0
23,21,4,4,0
23,25,4,2,0
23,26,4,2,0
23,27,4,2,0
23,23,4,1,0
23,24,4,3,0
24,21,2,4,0
24,27,2,1,0
24,21,2,4,1
24,27,2,2,0
24,25,2,2,0
24,23,2,2,0
24,22,2,3,0
24,26,2,2,0
24,22,2,2,0
24,23,2,2,0
24,24,2,2,0
24,27,2,4,0
24,30,2,2,0
24,21,2,4,0
24,25,2,2,0
24,26,2,2,0
24,27,2,2,0
24,23,2,1,0
24,24,2,3,0
24,21,2,4,0
24,27,2,1,1
24,21,2,4,1
24,27,2,2,0
24,25,2,2,0
24,23,2,2,0
24,22,2,3,0
24,26,2,2,0
24,22,2,2,1
24,23,2,2,0
